locus_tag	ftype	length_bp	gene	EC_number	COG	product
LHOCMKFL_00001	gene	1536	yfkN			
LHOCMKFL_00001	CDS	1536	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
LHOCMKFL_00002	gene	1545				
LHOCMKFL_00002	CDS	1545				hypothetical protein
LHOCMKFL_00003	gene	957	phnD2			
LHOCMKFL_00003	CDS	957	phnD2		COG3221	putative ABC transporter phosphonate/phosphite binding protein PhnD2
LHOCMKFL_00004	gene	774	glnQ			
LHOCMKFL_00004	CDS	774	glnQ			Glutamine transport ATP-binding protein GlnQ
LHOCMKFL_00005	gene	801	phnE			
LHOCMKFL_00005	CDS	801	phnE		COG3639	Phosphate-import permease protein PhnE
LHOCMKFL_00006	gene	138				
LHOCMKFL_00006	CDS	138				hypothetical protein
