locus_tag	ftype	length_bp	gene	EC_number	COG	product
MMFDLKPG_00001	gene	387				
MMFDLKPG_00001	CDS	387				hypothetical protein
MMFDLKPG_00002	gene	1368				
MMFDLKPG_00002	CDS	1368				hypothetical protein
MMFDLKPG_00003	gene	1629				
MMFDLKPG_00003	CDS	1629				hypothetical protein
MMFDLKPG_00004	gene	351				
MMFDLKPG_00004	CDS	351				hypothetical protein
MMFDLKPG_00005	gene	312				
MMFDLKPG_00005	CDS	312				hypothetical protein
MMFDLKPG_00006	gene	510				
MMFDLKPG_00006	CDS	510				hypothetical protein
