locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGDJKJFC_00001	gene	363	mazF			
OGDJKJFC_00001	CDS	363	mazF	3.1.-.-		Endoribonuclease MazF
OGDJKJFC_00002	gene	1065	rsbU			
OGDJKJFC_00002	CDS	1065	rsbU	3.1.3.3	COG2208	Phosphoserine phosphatase RsbU
OGDJKJFC_00003	gene	327	rsbV			
OGDJKJFC_00003	CDS	327	rsbV			Anti-sigma-B factor antagonist
OGDJKJFC_00004	gene	510	rsbW			
OGDJKJFC_00004	CDS	510	rsbW	2.7.11.1		Serine-protein kinase RsbW
OGDJKJFC_00005	gene	771	sigB			
OGDJKJFC_00005	CDS	771	sigB		COG1191	RNA polymerase sigma-B factor
OGDJKJFC_00006	gene	2151	yhgF			
OGDJKJFC_00006	CDS	2151	yhgF		COG2183	Protein YhgF
OGDJKJFC_00007	gene	456				
OGDJKJFC_00007	CDS	456				Protein SprT-like protein
OGDJKJFC_00008	gene	83				
OGDJKJFC_00008	tRNA	83				tRNA-Leu(gag)
OGDJKJFC_00009	gene	74				
OGDJKJFC_00009	tRNA	74				tRNA-Gly(tcc)
