locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBPBOOHP_00001	gene	312	rpsA			
IBPBOOHP_00001	CDS	312	rpsA			30S ribosomal protein S1
IBPBOOHP_00002	gene	1311	der_1			
IBPBOOHP_00002	CDS	1311	der_1			GTPase Der
IBPBOOHP_00003	gene	999	gpsA			
IBPBOOHP_00003	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
IBPBOOHP_00004	gene	273	hup			
IBPBOOHP_00004	CDS	273	hup			DNA-binding protein HU
IBPBOOHP_00005	gene	573				
IBPBOOHP_00005	CDS	573				hypothetical protein
IBPBOOHP_00006	gene	726	menG			
IBPBOOHP_00006	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
IBPBOOHP_00007	gene	945	hepT			
IBPBOOHP_00007	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
IBPBOOHP_00008	gene	450	ndk			
IBPBOOHP_00008	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
IBPBOOHP_00009	gene	201				
IBPBOOHP_00009	CDS	201				hypothetical protein
IBPBOOHP_00010	gene	1167	aroC			
IBPBOOHP_00010	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
IBPBOOHP_00011	gene	1065	aroB			
IBPBOOHP_00011	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
IBPBOOHP_00012	gene	1299	aroA			
IBPBOOHP_00012	CDS	1299	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
IBPBOOHP_00013	gene	1245	bepA			
IBPBOOHP_00013	CDS	1245	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
IBPBOOHP_00014	gene	588				
IBPBOOHP_00014	CDS	588				hypothetical protein
IBPBOOHP_00015	gene	588				
IBPBOOHP_00015	CDS	588				hypothetical protein
IBPBOOHP_00016	gene	699				
IBPBOOHP_00016	CDS	699				hypothetical protein
IBPBOOHP_00017	gene	318	ypjD			
IBPBOOHP_00017	CDS	318	ypjD		COG1694	putative protein YpjD
IBPBOOHP_00018	gene	1143	bshA			
IBPBOOHP_00018	CDS	1143	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
IBPBOOHP_00019	gene	1203	cca			
IBPBOOHP_00019	CDS	1203	cca	2.7.7.72		CCA-adding enzyme
IBPBOOHP_00020	gene	972	birA			
IBPBOOHP_00020	CDS	972	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
IBPBOOHP_00021	gene	2694	dinG			
IBPBOOHP_00021	CDS	2694	dinG	3.1.-.-		3'-5' exonuclease DinG
IBPBOOHP_00022	gene	1293	asnS			
IBPBOOHP_00022	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
IBPBOOHP_00023	gene	687	dnaD			
IBPBOOHP_00023	CDS	687	dnaD		COG3935	DNA replication protein DnaD
IBPBOOHP_00024	gene	660	nth			
IBPBOOHP_00024	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
IBPBOOHP_00025	gene	342				
IBPBOOHP_00025	CDS	342				hypothetical protein
IBPBOOHP_00026	gene	2184	ponA			
IBPBOOHP_00026	CDS	2184	ponA		COG0744	Penicillin-binding protein 1A/1B
IBPBOOHP_00027	gene	678	recU			
IBPBOOHP_00027	CDS	678	recU	3.1.22.4		Holliday junction resolvase RecU
IBPBOOHP_00028	gene	402				
IBPBOOHP_00028	CDS	402				hypothetical protein
IBPBOOHP_00029	gene	564				
IBPBOOHP_00029	CDS	564				hypothetical protein
IBPBOOHP_00030	gene	393	gpsB			
IBPBOOHP_00030	CDS	393	gpsB			Cell cycle protein GpsB
IBPBOOHP_00031	gene	117				
IBPBOOHP_00031	CDS	117				hypothetical protein
IBPBOOHP_00032	gene	1146	rlmL			
IBPBOOHP_00032	CDS	1146	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
IBPBOOHP_00033	gene	333				
IBPBOOHP_00033	CDS	333				hypothetical protein
IBPBOOHP_00034	gene	1341				
IBPBOOHP_00034	CDS	1341				hypothetical protein
IBPBOOHP_00035	gene	3441	der_2			
IBPBOOHP_00035	CDS	3441	der_2			GTPase Der
IBPBOOHP_00036	gene	879	ypcP			
IBPBOOHP_00036	CDS	879	ypcP	3.1.11.-	COG0258	5'-3' exonuclease
IBPBOOHP_00037	gene	1119	ald1			
IBPBOOHP_00037	CDS	1119	ald1	1.4.1.1		Alanine dehydrogenase 1
IBPBOOHP_00038	gene	1041	tdcB			
IBPBOOHP_00038	CDS	1041	tdcB	4.3.1.19		L-threonine dehydratase catabolic TdcB
IBPBOOHP_00039	gene	1323	steT			
IBPBOOHP_00039	CDS	1323	steT		COG0531	Serine/threonine exchanger SteT
IBPBOOHP_00040	gene	1521	norB			
IBPBOOHP_00040	CDS	1521	norB			Quinolone resistance protein NorB
