locus_tag	ftype	length_bp	gene	EC_number	COG	product
HMJGHHMJ_00001	gene	855	pglF_1			
HMJGHHMJ_00001	CDS	855	pglF_1	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
HMJGHHMJ_00002	gene	1005	pglF_2			
HMJGHHMJ_00002	CDS	1005	pglF_2	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
HMJGHHMJ_00003	gene	765	ywqE			
HMJGHHMJ_00003	CDS	765	ywqE	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
HMJGHHMJ_00004	gene	687	ywqD			
HMJGHHMJ_00004	CDS	687	ywqD	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
HMJGHHMJ_00005	gene	669	cap8A			
HMJGHHMJ_00005	CDS	669	cap8A		COG3944	Capsular polysaccharide type 8 biosynthesis protein cap8A
HMJGHHMJ_00006	gene	2610	adhE			
HMJGHHMJ_00006	CDS	2610	adhE		COG1012	Aldehyde-alcohol dehydrogenase
HMJGHHMJ_00007	gene	222				
HMJGHHMJ_00007	CDS	222				IS200/IS605 family transposase ISSep3
HMJGHHMJ_00008	gene	327				
HMJGHHMJ_00008	CDS	327				hypothetical protein
HMJGHHMJ_00009	gene	291	repE			
HMJGHHMJ_00009	CDS	291	repE			Replication initiation protein
HMJGHHMJ_00010	gene	546	repN			
HMJGHHMJ_00010	CDS	546	repN			Replication initiation protein
HMJGHHMJ_00011	gene	195				
HMJGHHMJ_00011	CDS	195				hypothetical protein
HMJGHHMJ_00012	gene	1536	yfkN			
HMJGHHMJ_00012	CDS	1536	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
