locus_tag	ftype	length_bp	gene	EC_number	COG	product
GLMMBHIE_00001	gene	204				
GLMMBHIE_00001	CDS	204				hypothetical protein
GLMMBHIE_00002	gene	1464	glpG			
GLMMBHIE_00002	CDS	1464	glpG	3.4.21.105		Rhomboid protease GlpG
GLMMBHIE_00003	gene	594	yqgN			
GLMMBHIE_00003	CDS	594	yqgN		COG0212	putative protein YqgN
GLMMBHIE_00004	gene	150	rpmG2			
GLMMBHIE_00004	CDS	150	rpmG2		COG0267	50S ribosomal protein L33 2
GLMMBHIE_00005	gene	1557	pbpH			
GLMMBHIE_00005	CDS	1557	pbpH		COG0768	Penicillin-binding protein H
