locus_tag	ftype	length_bp	gene	EC_number	COG	product
PJLGEPAM_00001	gene	171				
PJLGEPAM_00001	CDS	171				hypothetical protein
PJLGEPAM_00002	gene	702	lrgB			
PJLGEPAM_00002	CDS	702	lrgB		COG1346	Antiholin-like protein LrgB
PJLGEPAM_00003	gene	444	lrgA			
PJLGEPAM_00003	CDS	444	lrgA		COG1380	Antiholin-like protein LrgA
PJLGEPAM_00004	gene	741	lytR			
PJLGEPAM_00004	CDS	741	lytR		COG3279	Sensory transduction protein LytR
PJLGEPAM_00005	gene	1740	ypdA			
PJLGEPAM_00005	CDS	1740	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
PJLGEPAM_00006	gene	675	scdA			
PJLGEPAM_00006	CDS	675	scdA		COG2846	Iron-sulfur cluster repair protein ScdA
PJLGEPAM_00007	gene	1722	tarS			
PJLGEPAM_00007	CDS	1722	tarS	2.4.1.355		Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarS
PJLGEPAM_00008	gene	1689	tarL			
PJLGEPAM_00008	CDS	1689	tarL	2.7.8.14	COG1887	Teichoic acid ribitol-phosphate polymerase TarL
PJLGEPAM_00009	gene	1053	tarJ			
PJLGEPAM_00009	CDS	1053	tarJ	1.1.1.405	COG1063	Ribulose-5-phosphate reductase 1
PJLGEPAM_00010	gene	717	tarI1			
PJLGEPAM_00010	CDS	717	tarI1	2.7.7.40		Ribitol-5-phosphate cytidylyltransferase 1
