locus_tag	ftype	length_bp	gene	EC_number	COG	product
FIMMPJNN_00001	gene	345				
FIMMPJNN_00001	CDS	345				IS1182 family transposase ISSau3
FIMMPJNN_00002	gene	1560	rny			
FIMMPJNN_00002	CDS	1560	rny	3.1.-.-		Ribonuclease Y
FIMMPJNN_00003	gene	1044	recA			
FIMMPJNN_00003	CDS	1044	recA			Protein RecA
FIMMPJNN_00004	gene	1152	cinA			
FIMMPJNN_00004	CDS	1152	cinA			Putative competence-damage inducible protein
FIMMPJNN_00005	gene	579	pgsA			
FIMMPJNN_00005	CDS	579	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
FIMMPJNN_00006	gene	393				
FIMMPJNN_00006	CDS	393				hypothetical protein
FIMMPJNN_00007	gene	882				
FIMMPJNN_00007	CDS	882				hypothetical protein
FIMMPJNN_00008	gene	705	phaB			
FIMMPJNN_00008	CDS	705	phaB	1.1.1.36		Acetoacetyl-CoA reductase
FIMMPJNN_00009	gene	1287				
FIMMPJNN_00009	CDS	1287				hypothetical protein
FIMMPJNN_00010	gene	1266				
FIMMPJNN_00010	CDS	1266				hypothetical protein
FIMMPJNN_00011	gene	714	gamR			
FIMMPJNN_00011	CDS	714	gamR			HTH-type transcriptional repressor GamR
FIMMPJNN_00012	gene	2370	ftsK			
FIMMPJNN_00012	CDS	2370	ftsK			DNA translocase FtsK
FIMMPJNN_00013	gene	1725	rnj2			
FIMMPJNN_00013	CDS	1725	rnj2	3.1.-.-		Ribonuclease J 2
FIMMPJNN_00014	gene	2097	pnp			
FIMMPJNN_00014	CDS	2097	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
FIMMPJNN_00015	gene	270	rpsO			
FIMMPJNN_00015	CDS	270	rpsO			30S ribosomal protein S15
FIMMPJNN_00016	gene	972	ribF			
FIMMPJNN_00016	CDS	972	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
FIMMPJNN_00017	gene	918	truB			
FIMMPJNN_00017	CDS	918	truB	5.4.99.25		tRNA pseudouridine synthase B
FIMMPJNN_00018	gene	393	rbfA			
FIMMPJNN_00018	CDS	393	rbfA			Ribosome-binding factor A
FIMMPJNN_00019	gene	2118	infB			
FIMMPJNN_00019	CDS	2118	infB			Translation initiation factor IF-2
FIMMPJNN_00020	gene	318	rplGA			
FIMMPJNN_00020	CDS	318	rplGA		COG1358	putative ribosomal protein YlxQ
FIMMPJNN_00021	gene	285				
FIMMPJNN_00021	CDS	285				hypothetical protein
FIMMPJNN_00022	gene	1176	nusA			
FIMMPJNN_00022	CDS	1176	nusA		COG0195	Transcription termination/antitermination protein NusA
FIMMPJNN_00023	gene	468	rimP			
FIMMPJNN_00023	CDS	468	rimP		COG0779	Ribosome maturation factor RimP
FIMMPJNN_00024	gene	4311	polC			
FIMMPJNN_00024	CDS	4311	polC	2.7.7.7		DNA polymerase III PolC-type
FIMMPJNN_00025	gene	1704	proS			
FIMMPJNN_00025	CDS	1704	proS	6.1.1.15		Proline--tRNA ligase
FIMMPJNN_00026	gene	1287				
FIMMPJNN_00026	CDS	1287		3.4.24.-		Putative zinc metalloprotease
FIMMPJNN_00027	gene	783				
FIMMPJNN_00027	CDS	783				hypothetical protein
FIMMPJNN_00028	gene	804	uppS			
FIMMPJNN_00028	CDS	804	uppS	2.5.1.-		Isoprenyl transferase
FIMMPJNN_00029	gene	555	frr			
FIMMPJNN_00029	CDS	555	frr			Ribosome-recycling factor
FIMMPJNN_00030	gene	723	pyrH			
FIMMPJNN_00030	CDS	723	pyrH	2.7.4.22		Uridylate kinase
FIMMPJNN_00031	gene	882	tsf			
FIMMPJNN_00031	CDS	882	tsf			Elongation factor Ts
FIMMPJNN_00032	gene	768	rpsB			
FIMMPJNN_00032	CDS	768	rpsB			30S ribosomal protein S2
FIMMPJNN_00033	gene	774	codY			
FIMMPJNN_00033	CDS	774	codY			GTP-sensing transcriptional pleiotropic repressor CodY
FIMMPJNN_00034	gene	1404	hslU			
FIMMPJNN_00034	CDS	1404	hslU			ATP-dependent protease ATPase subunit HslU
FIMMPJNN_00035	gene	546	hslV			
FIMMPJNN_00035	CDS	546	hslV	3.4.25.2		ATP-dependent protease subunit HslV
FIMMPJNN_00036	gene	897	xerC			
FIMMPJNN_00036	CDS	897	xerC		COG4974	Tyrosine recombinase XerC
FIMMPJNN_00037	gene	1308	trmFO			
FIMMPJNN_00037	CDS	1308	trmFO	2.1.1.74		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
FIMMPJNN_00038	gene	2076	topA			
FIMMPJNN_00038	CDS	2076	topA	5.6.2.1		DNA topoisomerase 1
FIMMPJNN_00039	gene	873				
FIMMPJNN_00039	CDS	873				hypothetical protein
FIMMPJNN_00040	gene	1245	femA			
FIMMPJNN_00040	CDS	1245	femA	2.3.2.17	COG2348	Aminoacyltransferase FemA
FIMMPJNN_00041	gene	1119	lytN			
FIMMPJNN_00041	CDS	1119	lytN	3.-.-.-		putative cell wall hydrolase LytN
FIMMPJNN_00042	gene	909	sucD			
FIMMPJNN_00042	CDS	909	sucD	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit alpha
