locus_tag	ftype	length_bp	gene	EC_number	COG	product
FANIDGOH_00001	gene	93				
FANIDGOH_00001	tRNA	93				tRNA-Ser(tga)
FANIDGOH_00002	gene	1464	gltB			
FANIDGOH_00002	CDS	1464	gltB	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
FANIDGOH_00003	gene	4500	gltA			
FANIDGOH_00003	CDS	4500	gltA	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
FANIDGOH_00004	gene	885	hdfR			
FANIDGOH_00004	CDS	885	hdfR			HTH-type transcriptional regulator HdfR
FANIDGOH_00005	gene	1113				
FANIDGOH_00005	CDS	1113				hypothetical protein
FANIDGOH_00006	gene	783				
FANIDGOH_00006	CDS	783				hypothetical protein
FANIDGOH_00007	gene	498				
FANIDGOH_00007	CDS	498				hypothetical protein
FANIDGOH_00008	gene	396	nudC			
FANIDGOH_00008	CDS	396	nudC	3.6.1.22		NADH pyrophosphatase
FANIDGOH_00009	gene	270				
FANIDGOH_00009	CDS	270				hypothetical protein
FANIDGOH_00010	gene	1119	sle1			
FANIDGOH_00010	CDS	1119	sle1	3.5.1.28		N-acetylmuramoyl-L-alanine amidase sle1
FANIDGOH_00011	gene	843	metQ			
FANIDGOH_00011	CDS	843	metQ		COG1464	putative D-methionine-binding lipoprotein MetQ
FANIDGOH_00012	gene	660	metP			
FANIDGOH_00012	CDS	660	metP		COG2011	Methionine import system permease protein MetP
FANIDGOH_00013	gene	1029	metN			
FANIDGOH_00013	CDS	1029	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
FANIDGOH_00014	gene	1143	mccB			
FANIDGOH_00014	CDS	1143	mccB	4.4.1.1	COG0626	Cystathionine gamma-lyase
FANIDGOH_00015	gene	957	mccA			
FANIDGOH_00015	CDS	957	mccA	2.5.1.134	COG0031	O-acetylserine dependent cystathionine beta-synthase
FANIDGOH_00016	gene	1341				
FANIDGOH_00016	CDS	1341				hypothetical protein
FANIDGOH_00017	gene	114				
FANIDGOH_00017	CDS	114				hypothetical protein
FANIDGOH_00018	gene	735	est			
FANIDGOH_00018	CDS	735	est	3.1.1.1	COG1647	Carboxylesterase
FANIDGOH_00019	gene	675				
FANIDGOH_00019	CDS	675				hypothetical protein
FANIDGOH_00020	gene	417				
FANIDGOH_00020	CDS	417				hypothetical protein
FANIDGOH_00021	gene	363				
FANIDGOH_00021	CDS	363				hypothetical protein
FANIDGOH_00022	gene	2706				
FANIDGOH_00022	CDS	2706				hypothetical protein
FANIDGOH_00023	gene	1485	ndhB			
FANIDGOH_00023	CDS	1485	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
FANIDGOH_00024	gene	1203	yciC			
FANIDGOH_00024	CDS	1203	yciC		COG0523	Putative metal chaperone YciC
FANIDGOH_00025	gene	195				
FANIDGOH_00025	CDS	195				hypothetical protein
FANIDGOH_00026	gene	315				
FANIDGOH_00026	CDS	315				hypothetical protein
FANIDGOH_00027	gene	324				
FANIDGOH_00027	CDS	324				hypothetical protein
FANIDGOH_00028	gene	1329				
FANIDGOH_00028	CDS	1329				hypothetical protein
FANIDGOH_00029	gene	858				
FANIDGOH_00029	CDS	858				putative protein
FANIDGOH_00030	gene	798				
FANIDGOH_00030	CDS	798				putative protein
FANIDGOH_00031	gene	816	lpl2_1			
FANIDGOH_00031	CDS	816	lpl2_1			putative lipoprotein
FANIDGOH_00032	gene	783				
FANIDGOH_00032	CDS	783				putative lipoprotein
FANIDGOH_00033	gene	813	lpl2_2			
FANIDGOH_00033	CDS	813	lpl2_2			putative lipoprotein
FANIDGOH_00034	gene	309				
FANIDGOH_00034	CDS	309				hypothetical protein
FANIDGOH_00035	gene	1485				
FANIDGOH_00035	CDS	1485				hypothetical protein
FANIDGOH_00036	gene	687	ssl5			
FANIDGOH_00036	CDS	687	ssl5			Staphylococcal superantigen-like 5
FANIDGOH_00037	gene	1260				
FANIDGOH_00037	CDS	1260				hypothetical protein
FANIDGOH_00038	gene	1557				
FANIDGOH_00038	CDS	1557		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
