locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAFLMJIC_00001	gene	1089	hemA			
CAFLMJIC_00001	CDS	1089	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
CAFLMJIC_00002	gene	816				
CAFLMJIC_00002	CDS	816				hypothetical protein
CAFLMJIC_00003	gene	927	hemC			
CAFLMJIC_00003	CDS	927	hemC	2.5.1.61		Porphobilinogen deaminase
CAFLMJIC_00004	gene	669				
CAFLMJIC_00004	CDS	669				hypothetical protein
CAFLMJIC_00005	gene	975	hemB			
CAFLMJIC_00005	CDS	975	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
CAFLMJIC_00006	gene	1287	hemL1			
CAFLMJIC_00006	CDS	1287	hemL1	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase 1
CAFLMJIC_00007	gene	1068				
CAFLMJIC_00007	CDS	1068				hypothetical protein
CAFLMJIC_00008	gene	561	tag			
CAFLMJIC_00008	CDS	561	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
CAFLMJIC_00009	gene	2631	valS			
CAFLMJIC_00009	CDS	2631	valS	6.1.1.9		Valine--tRNA ligase
CAFLMJIC_00010	gene	1272	fpgS			
CAFLMJIC_00010	CDS	1272	fpgS	6.3.2.17		Folylpolyglutamate synthase
CAFLMJIC_00011	gene	708	comC			
CAFLMJIC_00011	CDS	708	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
CAFLMJIC_00012	gene	687				
CAFLMJIC_00012	CDS	687				hypothetical protein
CAFLMJIC_00013	gene	285				
CAFLMJIC_00013	CDS	285				hypothetical protein
CAFLMJIC_00014	gene	198				
CAFLMJIC_00014	CDS	198				hypothetical protein
CAFLMJIC_00015	gene	474				
CAFLMJIC_00015	CDS	474				hypothetical protein
CAFLMJIC_00016	gene	120				
CAFLMJIC_00016	CDS	120				hypothetical protein
CAFLMJIC_00017	gene	843	mreC			
CAFLMJIC_00017	CDS	843	mreC		COG1792	Cell shape-determining protein MreC
CAFLMJIC_00018	gene	531				
CAFLMJIC_00018	CDS	531				hypothetical protein
CAFLMJIC_00019	gene	309	rplU			
CAFLMJIC_00019	CDS	309	rplU			50S ribosomal protein L21
CAFLMJIC_00020	gene	321				
CAFLMJIC_00020	CDS	321				hypothetical protein
CAFLMJIC_00021	gene	285	rpmA			
CAFLMJIC_00021	CDS	285	rpmA			50S ribosomal protein L27
CAFLMJIC_00022	gene	1293	obg			
CAFLMJIC_00022	CDS	1293	obg	3.6.5.-		GTPase Obg
CAFLMJIC_00023	gene	459				
CAFLMJIC_00023	CDS	459				hypothetical protein
CAFLMJIC_00024	gene	603	ruvA			
CAFLMJIC_00024	CDS	603	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
CAFLMJIC_00025	gene	1005	ruvB			
CAFLMJIC_00025	CDS	1005	ruvB	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
CAFLMJIC_00026	gene	1026	queA			
CAFLMJIC_00026	CDS	1026	queA	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
CAFLMJIC_00027	gene	1140	tgt			
CAFLMJIC_00027	CDS	1140	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
CAFLMJIC_00028	gene	261	yajC			
CAFLMJIC_00028	CDS	261	yajC		COG1862	Sec translocon accessory complex subunit YajC
CAFLMJIC_00029	gene	2280	secDF			
CAFLMJIC_00029	CDS	2280	secDF		COG0341	Protein translocase subunit SecDF
CAFLMJIC_00030	gene	2274				
CAFLMJIC_00030	CDS	2274				hypothetical protein
CAFLMJIC_00031	gene	519	apt			
CAFLMJIC_00031	CDS	519	apt	2.4.2.7		Adenine phosphoribosyltransferase
CAFLMJIC_00032	gene	2211	relA			
CAFLMJIC_00032	CDS	2211	relA	2.7.6.5		GTP pyrophosphokinase
CAFLMJIC_00033	gene	306	dtd			
