locus_tag	ftype	length_bp	gene	EC_number	COG	product
PAONDKHO_00001	gene	444	lysP			
PAONDKHO_00001	CDS	444	lysP		COG0833	Lysine-specific permease
PAONDKHO_00002	gene	561	infC			
PAONDKHO_00002	CDS	561	infC			Translation initiation factor IF-3
PAONDKHO_00003	gene	201	rpmI			
PAONDKHO_00003	CDS	201	rpmI			50S ribosomal protein L35
PAONDKHO_00004	gene	357	rplT			
PAONDKHO_00004	CDS	357	rplT			50S ribosomal protein L20
PAONDKHO_00005	gene	609				
PAONDKHO_00005	CDS	609				hypothetical protein
PAONDKHO_00006	gene	930				
PAONDKHO_00006	CDS	930				hypothetical protein
