locus_tag	ftype	length_bp	gene	EC_number	COG	product
ADIJKJOK_00001	gene	726	menG			
ADIJKJOK_00001	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
ADIJKJOK_00002	gene	945	hepT			
ADIJKJOK_00002	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
ADIJKJOK_00003	gene	450	ndk			
ADIJKJOK_00003	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
ADIJKJOK_00004	gene	201				
ADIJKJOK_00004	CDS	201				hypothetical protein
ADIJKJOK_00005	gene	1167	aroC			
ADIJKJOK_00005	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
ADIJKJOK_00006	gene	1065	aroB			
ADIJKJOK_00006	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
ADIJKJOK_00007	gene	1299	aroA			
ADIJKJOK_00007	CDS	1299	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
ADIJKJOK_00008	gene	1245	bepA			
ADIJKJOK_00008	CDS	1245	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
ADIJKJOK_00009	gene	588				
ADIJKJOK_00009	CDS	588				hypothetical protein
