locus_tag	ftype	length_bp	gene	EC_number	COG	product
LJJJCJKM_00001	gene	393				
LJJJCJKM_00001	CDS	393				hypothetical protein
LJJJCJKM_00002	gene	390				
LJJJCJKM_00002	CDS	390				hypothetical protein
LJJJCJKM_00003	gene	375				
LJJJCJKM_00003	CDS	375				hypothetical protein
LJJJCJKM_00004	gene	474				
LJJJCJKM_00004	CDS	474				hypothetical protein
LJJJCJKM_00005	gene	414				
LJJJCJKM_00005	CDS	414				hypothetical protein
LJJJCJKM_00006	gene	1263				
LJJJCJKM_00006	CDS	1263				hypothetical protein
LJJJCJKM_00007	gene	291				
LJJJCJKM_00007	CDS	291				hypothetical protein
LJJJCJKM_00008	gene	1080				
LJJJCJKM_00008	CDS	1080				hypothetical protein
LJJJCJKM_00009	gene	600	essC			
LJJJCJKM_00009	CDS	600	essC		COG1674	Type VII secretion system protein EssC
