locus_tag	ftype	length_bp	gene	EC_number	COG	product
APIDFFDB_00001	gene	402	ftsL			
APIDFFDB_00001	CDS	402	ftsL			Cell division protein FtsL
APIDFFDB_00002	gene	936	rsmH			
APIDFFDB_00002	CDS	936	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
APIDFFDB_00003	gene	432	mraZ			
APIDFFDB_00003	CDS	432	mraZ			Transcriptional regulator MraZ
APIDFFDB_00004	gene	1614	bshC			
APIDFFDB_00004	CDS	1614	bshC	6.-.-.-	COG4365	Putative cysteine ligase BshC
APIDFFDB_00005	gene	441				
APIDFFDB_00005	CDS	441		2.3.1.-		putative N-acetyltransferase
APIDFFDB_00006	gene	696	yfnB			
APIDFFDB_00006	CDS	696	yfnB	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
APIDFFDB_00007	gene	135				
APIDFFDB_00007	CDS	135				Antibacterial protein 3
APIDFFDB_00008	gene	135				
APIDFFDB_00008	CDS	135				Antibacterial protein 3
APIDFFDB_00009	gene	76				
APIDFFDB_00009	tRNA	76				tRNA-Arg(tct)
APIDFFDB_00010	gene	189				
APIDFFDB_00010	CDS	189				hypothetical protein
APIDFFDB_00011	gene	948				
APIDFFDB_00011	CDS	948				hypothetical protein
APIDFFDB_00012	gene	228				
APIDFFDB_00012	CDS	228				hypothetical protein
APIDFFDB_00013	gene	1557				
APIDFFDB_00013	CDS	1557				hypothetical protein
APIDFFDB_00014	gene	936	arcC1			
APIDFFDB_00014	CDS	936	arcC1	2.7.2.2		Carbamate kinase 1
APIDFFDB_00015	gene	1002	argF			
APIDFFDB_00015	CDS	1002	argF	2.1.3.3		Ornithine carbamoyltransferase
APIDFFDB_00016	gene	726				
APIDFFDB_00016	CDS	726				Superantigen-like protein 13
APIDFFDB_00017	gene	726				
APIDFFDB_00017	CDS	726				Superantigen-like protein 13
APIDFFDB_00018	gene	747				
APIDFFDB_00018	CDS	747				Superantigen-like protein 13
APIDFFDB_00019	gene	198				
APIDFFDB_00019	CDS	198				hypothetical protein
APIDFFDB_00020	gene	198				
APIDFFDB_00020	CDS	198				hypothetical protein
APIDFFDB_00021	gene	960	hly			
APIDFFDB_00021	CDS	960	hly			Alpha-hemolysin
APIDFFDB_00022	gene	234				
APIDFFDB_00022	CDS	234				hypothetical protein
APIDFFDB_00023	gene	186				
APIDFFDB_00023	CDS	186				hypothetical protein
APIDFFDB_00024	gene	222				
APIDFFDB_00024	CDS	222				hypothetical protein
APIDFFDB_00025	gene	351	scn			
APIDFFDB_00025	CDS	351	scn			Staphylococcal complement inhibitor
APIDFFDB_00026	gene	408	fib			
APIDFFDB_00026	CDS	408	fib			Fibrinogen-binding protein
