locus_tag	ftype	length_bp	gene	EC_number	COG	product
MCEDKLEK_00001	gene	1491				
MCEDKLEK_00001	CDS	1491		3.4.21.-		putative CtpA-like serine protease
MCEDKLEK_00002	gene	510				
MCEDKLEK_00002	CDS	510				hypothetical protein
MCEDKLEK_00003	gene	1071	murG			
MCEDKLEK_00003	CDS	1071	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MCEDKLEK_00004	gene	615				
MCEDKLEK_00004	CDS	615				hypothetical protein
MCEDKLEK_00005	gene	201				
MCEDKLEK_00005	CDS	201				hypothetical protein
