locus_tag	ftype	length_bp	gene	EC_number	COG	product
FKFNBKLF_00001	gene	951	pbpH			
FKFNBKLF_00001	CDS	951	pbpH		COG0768	Penicillin-binding protein H
FKFNBKLF_00002	gene	150	rpmG2			
FKFNBKLF_00002	CDS	150	rpmG2		COG0267	50S ribosomal protein L33 2
FKFNBKLF_00003	gene	594	yqgN			
FKFNBKLF_00003	CDS	594	yqgN		COG0212	putative protein YqgN
FKFNBKLF_00004	gene	1464	gluP			
FKFNBKLF_00004	CDS	1464	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
FKFNBKLF_00005	gene	204				
FKFNBKLF_00005	CDS	204				hypothetical protein
FKFNBKLF_00006	gene	987	glcK			
FKFNBKLF_00006	CDS	987	glcK	2.7.1.2	COG1940	Glucokinase
FKFNBKLF_00007	gene	330				
FKFNBKLF_00007	CDS	330				hypothetical protein
FKFNBKLF_00008	gene	624				
FKFNBKLF_00008	CDS	624		3.-.-.-		putative metallo-hydrolase
FKFNBKLF_00009	gene	975	comGA			
FKFNBKLF_00009	CDS	975	comGA		COG2804	ComG operon protein 1
