locus_tag	ftype	length_bp	gene	EC_number	COG	product
PAJFPAMC_00001	gene	615	der			
PAJFPAMC_00001	CDS	615	der			GTPase Der
PAJFPAMC_00002	gene	999	gpsA			
PAJFPAMC_00002	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PAJFPAMC_00003	gene	273	hup			
PAJFPAMC_00003	CDS	273	hup			DNA-binding protein HU
PAJFPAMC_00004	gene	573				
PAJFPAMC_00004	CDS	573				hypothetical protein
PAJFPAMC_00005	gene	726	menG			
PAJFPAMC_00005	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
PAJFPAMC_00006	gene	945	hepT			
PAJFPAMC_00006	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
PAJFPAMC_00007	gene	450	ndk			
PAJFPAMC_00007	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
PAJFPAMC_00008	gene	201				
PAJFPAMC_00008	CDS	201				hypothetical protein
PAJFPAMC_00009	gene	1167	aroC			
PAJFPAMC_00009	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
PAJFPAMC_00010	gene	1065	aroB			
PAJFPAMC_00010	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
PAJFPAMC_00011	gene	1299	aroA			
PAJFPAMC_00011	CDS	1299	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
PAJFPAMC_00012	gene	1245	bepA			
PAJFPAMC_00012	CDS	1245	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
PAJFPAMC_00013	gene	588				
PAJFPAMC_00013	CDS	588				hypothetical protein
PAJFPAMC_00014	gene	588				
PAJFPAMC_00014	CDS	588				hypothetical protein
PAJFPAMC_00015	gene	699				
PAJFPAMC_00015	CDS	699				hypothetical protein
PAJFPAMC_00016	gene	318	ypjD			
PAJFPAMC_00016	CDS	318	ypjD		COG1694	putative protein YpjD
PAJFPAMC_00017	gene	1143	bshA			
PAJFPAMC_00017	CDS	1143	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
PAJFPAMC_00018	gene	1203	cca			
PAJFPAMC_00018	CDS	1203	cca	2.7.7.72		CCA-adding enzyme
PAJFPAMC_00019	gene	972	birA			
PAJFPAMC_00019	CDS	972	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
PAJFPAMC_00020	gene	2694	dinG			
PAJFPAMC_00020	CDS	2694	dinG	3.1.-.-		3'-5' exonuclease DinG
PAJFPAMC_00021	gene	1293	asnS			
PAJFPAMC_00021	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
