locus_tag	ftype	length_bp	gene	EC_number	COG	product
GHMGBAEI_00001	gene	153				
GHMGBAEI_00001	CDS	153				hypothetical protein
GHMGBAEI_00002	gene	177				
GHMGBAEI_00002	CDS	177				hypothetical protein
GHMGBAEI_00003	gene	231				
GHMGBAEI_00003	CDS	231				hypothetical protein
GHMGBAEI_00004	gene	222				
GHMGBAEI_00004	CDS	222				hypothetical protein
GHMGBAEI_00005	gene	261				
GHMGBAEI_00005	CDS	261				hypothetical protein
GHMGBAEI_00006	gene	222				
GHMGBAEI_00006	CDS	222				hypothetical protein
GHMGBAEI_00007	gene	624				
GHMGBAEI_00007	CDS	624				hypothetical protein
GHMGBAEI_00008	gene	429	ssbA			
GHMGBAEI_00008	CDS	429	ssbA		COG0629	Single-stranded DNA-binding protein A
GHMGBAEI_00009	gene	669				
GHMGBAEI_00009	CDS	669				hypothetical protein
GHMGBAEI_00010	gene	780				
GHMGBAEI_00010	CDS	780				hypothetical protein
GHMGBAEI_00011	gene	798				
GHMGBAEI_00011	CDS	798				hypothetical protein
GHMGBAEI_00012	gene	774				
GHMGBAEI_00012	CDS	774				hypothetical protein
GHMGBAEI_00013	gene	159				
GHMGBAEI_00013	CDS	159				hypothetical protein
GHMGBAEI_00014	gene	222				
GHMGBAEI_00014	CDS	222				hypothetical protein
GHMGBAEI_00015	gene	405				
GHMGBAEI_00015	CDS	405				hypothetical protein
GHMGBAEI_00016	gene	186				
GHMGBAEI_00016	CDS	186				hypothetical protein
GHMGBAEI_00017	gene	363				
GHMGBAEI_00017	CDS	363				hypothetical protein
GHMGBAEI_00018	gene	255				
GHMGBAEI_00018	CDS	255				hypothetical protein
GHMGBAEI_00019	gene	249				
GHMGBAEI_00019	CDS	249				hypothetical protein
GHMGBAEI_00020	gene	168				
GHMGBAEI_00020	CDS	168				hypothetical protein
GHMGBAEI_00021	gene	237				
GHMGBAEI_00021	CDS	237				hypothetical protein
GHMGBAEI_00022	gene	243				
GHMGBAEI_00022	CDS	243				hypothetical protein
GHMGBAEI_00023	gene	534	dut			
GHMGBAEI_00023	CDS	534	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
GHMGBAEI_00024	gene	237				
GHMGBAEI_00024	CDS	237				hypothetical protein
GHMGBAEI_00025	gene	207				
GHMGBAEI_00025	CDS	207				hypothetical protein
GHMGBAEI_00026	gene	387				
GHMGBAEI_00026	CDS	387				hypothetical protein
GHMGBAEI_00027	gene	150				
GHMGBAEI_00027	CDS	150				hypothetical protein
GHMGBAEI_00028	gene	201				
GHMGBAEI_00028	CDS	201				hypothetical protein
GHMGBAEI_00029	gene	417				
GHMGBAEI_00029	CDS	417				hypothetical protein
GHMGBAEI_00030	gene	300				
GHMGBAEI_00030	CDS	300				hypothetical protein
GHMGBAEI_00031	gene	345				
GHMGBAEI_00031	CDS	345				hypothetical protein
GHMGBAEI_00032	gene	1662				
GHMGBAEI_00032	CDS	1662				hypothetical protein
GHMGBAEI_00033	gene	1188				
GHMGBAEI_00033	CDS	1188				hypothetical protein
GHMGBAEI_00034	gene	744	clpP			
GHMGBAEI_00034	CDS	744	clpP	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
GHMGBAEI_00035	gene	1146				
GHMGBAEI_00035	CDS	1146				hypothetical protein
GHMGBAEI_00036	gene	285				
GHMGBAEI_00036	CDS	285				hypothetical protein
GHMGBAEI_00037	gene	297				
GHMGBAEI_00037	CDS	297				hypothetical protein
GHMGBAEI_00038	gene	363				
GHMGBAEI_00038	CDS	363				hypothetical protein
GHMGBAEI_00039	gene	405				
GHMGBAEI_00039	CDS	405				hypothetical protein
GHMGBAEI_00040	gene	405				
GHMGBAEI_00040	CDS	405				hypothetical protein
GHMGBAEI_00041	gene	645				
GHMGBAEI_00041	CDS	645				hypothetical protein
GHMGBAEI_00042	gene	351				
GHMGBAEI_00042	CDS	351				hypothetical protein
GHMGBAEI_00043	gene	138				
GHMGBAEI_00043	CDS	138				hypothetical protein
GHMGBAEI_00044	gene	4530				
GHMGBAEI_00044	CDS	4530				hypothetical protein
GHMGBAEI_00045	gene	1485				
GHMGBAEI_00045	CDS	1485				hypothetical protein
GHMGBAEI_00046	gene	216				
GHMGBAEI_00046	CDS	216				hypothetical protein
