locus_tag	ftype	length_bp	gene	EC_number	COG	product
MJFNOHPL_00001	gene	534	msrA2			
MJFNOHPL_00001	CDS	534	msrA2	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA 2
MJFNOHPL_00002	gene	429	msrB			
MJFNOHPL_00002	CDS	429	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
MJFNOHPL_00003	gene	501	crr			
MJFNOHPL_00003	CDS	501	crr			PTS system glucose-specific EIIA component
MJFNOHPL_00004	gene	222				
MJFNOHPL_00004	CDS	222				hypothetical protein
MJFNOHPL_00005	gene	1491				
MJFNOHPL_00005	CDS	1491		3.4.21.-		putative CtpA-like serine protease
MJFNOHPL_00006	gene	510				
MJFNOHPL_00006	CDS	510				hypothetical protein
MJFNOHPL_00007	gene	1071	murG			
MJFNOHPL_00007	CDS	1071	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MJFNOHPL_00008	gene	615				
MJFNOHPL_00008	CDS	615				hypothetical protein
