locus_tag	ftype	length_bp	gene	EC_number	COG	product
LFKNGEEF_00001	gene	726	menG			
LFKNGEEF_00001	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
LFKNGEEF_00002	gene	945	hepT			
LFKNGEEF_00002	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
LFKNGEEF_00003	gene	450	ndk			
LFKNGEEF_00003	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
LFKNGEEF_00004	gene	201				
LFKNGEEF_00004	CDS	201				hypothetical protein
LFKNGEEF_00005	gene	1167	aroC			
LFKNGEEF_00005	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
LFKNGEEF_00006	gene	1065	aroB			
LFKNGEEF_00006	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
