0,1,0,1,2
GCA_000163575.1_ASM16357v1_genomic.gbff_pp4.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp6.ffn           ,GCA_000009005.1_ASM900v1_genomic.gbff_pp11.ffn,GCA_000248995.2_ASM24899v2_genomic.gbff_pp9.ffn,1
GCA_000242555.2_ASM24255v2_genomic.gbff_pp2.ffn,GCA_000242555.2_ASM24255v2_genomic.gbff_pp2.ffn         ,GCA_000009005.1_ASM900v1_genomic.gbff_pp11.ffn,GCA_000543485.1_Stap_aure_M0773_V1_genomic.gbff_pp9.ffn,1
GCA_000363845.1_Stap_aure_B40950_V1_genomic.gbff_pp10.ffn,GCA_000553815.1_Stap_aure_M0226_V1_genomic.gbff_pp10.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp13.ffn,GCA_000248795.2_ASM24879v2_genomic.gbff_pp12.ffn,2
GCA_000553815.1_Stap_aure_M0226_V1_genomic.gbff_pp10.ffn,GCA_000363845.1_Stap_aure_B40950_V1_genomic.gbff_pp10.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp15.ffn,GCA_000536935.1_Stap_aure_LAMC6094_V1_genomic.gbff_pp13.ffn,2
GCA_000562305.1_Stap_aure_F89468_V1_genomic.gbff_pp10.ffn,GCA_000363845.1_Stap_aure_B40950_V1_genomic.gbff_pp10.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp15.ffn,GCA_900081945.1_12673_2_15_genomic.gbff_pp10.ffn,2
GCA_000160355.1_ASM16035v1_genomic.gbff_pp3.ffn,GCA_000160355.1_ASM16035v1_genomic.gbff_pp3.ffn         ,GCA_000009005.1_ASM900v1_genomic.gbff_pp10.ffn,GCA_000248515.2_ASM24851v2_genomic.gbff_pp9.ffn,4
GCA_000363845.1_Stap_aure_B40950_V1_genomic.gbff_pp10.ffn,GCA_001548295.1_ASM154829v1_genomic.gbff_pp10.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp11.ffn,GCA_000160415.1_ASM16041v1_genomic.gbff_pp9.ffn,4
GCA_000545865.1_Stap_aure_M0966_V1_genomic.gbff_pp10.ffn,GCA_000363845.1_Stap_aure_B40950_V1_genomic.gbff_pp10.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp15.ffn,GCA_002983095.1_ASM298309v1_genomic.gbff_pp13.ffn,4
GCA_000550985.1_Stap_aure_M0012_V1_genomic.gbff_pp10.ffn,GCA_000363845.1_Stap_aure_B40950_V1_genomic.gbff_pp10.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp15.ffn,GCA_000587515.1_Stap_aure_H65881_V1_genomic.gbff_pp10.ffn,4
GCA_000601945.1_Stap_aure_F87602_V1_genomic.gbff_pp6.ffn,GCA_000163575.1_ASM16357v1_genomic.gbff_pp4.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp15.ffn,GCA_002127025.1_ASM212702v1_genomic.gbff_pp10.ffn,4
GCA_001548295.1_ASM154829v1_genomic.gbff_pp10.ffn,GCA_000363845.1_Stap_aure_B40950_V1_genomic.gbff_pp10.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp15.ffn,GCA_001060985.1_ASM106098v1_genomic.gbff_pp13.ffn,5
GCA_000163575.1_ASM16357v1_genomic.gbff_pp4.ffn,GCA_000011505.1_ASM1150v1_genomic.gbff_pp6.ffn          ,GCA_000009005.1_ASM900v1_genomic.gbff_pp10.ffn,GCA_000016805.1_ASM1680v1_genomic.gbff_pp8.ffn,6
GCA_000009005.1_ASM900v1_genomic.gbff_pp7.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp7.ffn          ,GCA_000009005.1_ASM900v1_genomic.gbff_pp1.ffn,GCA_000547345.1_Stap_aure_M1562_V1_genomic.gbff_pp1.ffn,7
GCA_000009645.1_ASM964v1_genomic.gbff_pp2.ffn,GCA_000009645.1_ASM964v1_genomic.gbff_pp2.ffn           ,GCA_000009005.1_ASM900v1_genomic.gbff_pp10.ffn,GCA_000016805.1_ASM1680v1_genomic.gbff_pp9.ffn,7
GCA_002121705.1_ASM212170v1_genomic.gbff_pp5.ffn,GCA_002121705.1_ASM212170v1_genomic.gbff_pp5.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp15.ffn,GCA_900124925.1_17138_2_42_genomic.gbff_pp13.ffn,7
GCA_000160415.1_ASM16041v1_genomic.gbff_pp7.ffn,GCA_000160415.1_ASM16041v1_genomic.gbff_pp7.ffn,GCA_000009005.1_ASM900v1_genomic.gbff_pp10.ffn,GCA_000174575.1_ASM17457v1_genomic.gbff_pp8.ffn,8
GCA_000163575.1_ASM16357v1_genomic.gbff_pp4.ffn,GCA_000009585.1_ASM958v1_genomic.gbff_pp5.ffn           ,GCA_000009005.1_ASM900v1_genomic.gbff_pp10.ffn,GCA_000362285.1_Stap_aure_M0946_V1_genomic.gbff_pp10.ffn,8
GCA_000009005.1_ASM900v1_genomic.gbff_pp16.ffn, GCA_000009005.1_ASM900v1_genomic.gbff_pp16.ffn    ,GCA_000009005.1_ASM900v1_genomic.gbff_pp1.ffn,GCA_000215405.2_ASM21540v2_genomic.gbff_pp1.ffn,9
