locus_tag	ftype	length_bp	gene	EC_number	COG	product
HGDEFLKI_00001	gene	726	menG			
HGDEFLKI_00001	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
HGDEFLKI_00002	gene	945	hepT			
HGDEFLKI_00002	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
HGDEFLKI_00003	gene	450	ndk			
HGDEFLKI_00003	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
HGDEFLKI_00004	gene	201				
HGDEFLKI_00004	CDS	201				hypothetical protein
HGDEFLKI_00005	gene	1167	aroC			
HGDEFLKI_00005	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
HGDEFLKI_00006	gene	1065	aroB			
HGDEFLKI_00006	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
HGDEFLKI_00007	gene	1299	aroA			
HGDEFLKI_00007	CDS	1299	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
