locus_tag	ftype	length_bp	gene	EC_number	COG	product
EPIDIIBF_00001	gene	351				
EPIDIIBF_00001	CDS	351				hypothetical protein
EPIDIIBF_00002	gene	93				
EPIDIIBF_00002	CDS	93				hypothetical protein
EPIDIIBF_00003	gene	312				
EPIDIIBF_00003	CDS	312				hypothetical protein
EPIDIIBF_00004	gene	504				
EPIDIIBF_00004	CDS	504				hypothetical protein
EPIDIIBF_00005	gene	225				
EPIDIIBF_00005	CDS	225				hypothetical protein
EPIDIIBF_00006	gene	1128	adhD			
EPIDIIBF_00006	CDS	1128	adhD	1.1.1.1	COG1062	Putative alcohol dehydrogenase D
