locus_tag	ftype	length_bp	gene	EC_number	COG	product
AONIEPPH_00001	gene	573				
AONIEPPH_00001	CDS	573				hypothetical protein
AONIEPPH_00002	gene	726	menG			
AONIEPPH_00002	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
AONIEPPH_00003	gene	945	hepT			
AONIEPPH_00003	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
AONIEPPH_00004	gene	450	ndk			
AONIEPPH_00004	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
AONIEPPH_00005	gene	201				
AONIEPPH_00005	CDS	201				hypothetical protein
AONIEPPH_00006	gene	1167	aroC			
AONIEPPH_00006	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
AONIEPPH_00007	gene	1065	aroB			
AONIEPPH_00007	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
AONIEPPH_00008	gene	1299	aroA			
AONIEPPH_00008	CDS	1299	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
